city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,38,12,15,0.3,6,74,74,7
阿克苏地区,159,54,266,0.5,16,69,69,10
阿拉善盟,41,12,25,0.4,5,80,80,7
阿勒泰地区,28,3,9,0.9,4,54,54,7
阿里地区,24,0,5,0.5,4,71,46,4
安康,100,52,149,0.6,21,42,42,26
安庆,22,6,13,0.55,21,46,43,6
鞍山,50,10,49,0.43,13,55,55,9
安顺,66,47,52,0.8,19,15,14,9
安阳,86,56,119,0.86,35,40,28,11
白城,33,14,24,0.65,12,65,65,9
百色,46,29,45,0.55,13,69,69,16
白山,80,58,78,0.85,14,49,49,17
白银,65,22,78,0.6,14,68,68,118
保定,33,15,32,0.3,9,58,58,3
宝鸡,77,31,101,0.44,24,60,60,5
保山,42,8,22,0.2,10,82,82,4
包头,48,8,47,0.33,10,57,57,8
巴彦淖尔,41,10,28,0.43,11,81,81,7
巴中,89,42,126,0.43,12,51,37,2
北海,46,16,34,0.8,10,90,90,9
北京,30,6,29,0.28,7,54,54,2
蚌埠,56,39,56,0.43,28,50,50,7
本溪,33,13,32,0.53,18,43,43,15
毕节,28,15,27,0.85,23,12,12,11
滨州,47,8,46,0.47,14,62,62,7
博州,83,59,114,0.9,12,51,51,8
亳州,75,49,98,0.7,23,32,32,3
沧州,50,16,49,0.23,11,63,63,11
长春,26,11,22,0.51,16,51,51,8
常德,72,45,91,0.74,20,35,37,5
昌都,29,19,20,0.65,10,56,56,2
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,419,376,0,1.3,13,44,27,7
长沙,13,7,8,0.59,24,14,14,5
常熟,41,20,40,0.55,35,46,53,13
长治,48,11,47,0.53,13,62,54,7
常州,50,28,49,0.89,42,28,32,8
朝阳,45,11,44,0.55,8,58,58,6
潮州,57,37,62,0.93,20,116,73,13
承德,34,10,33,0.23,6,63,63,4
成都,85,41,117,0.62,44,29,31,6
郴州,16,11,14,0.63,19,14,14,5
赤峰,29,6,28,0.5,11,48,49,7
池州,22,6,7,0.3,28,44,42,9
重庆,22,15,20,0.9,29,6,6,5
崇左,40,20,39,0.45,9,65,65,5
楚雄州,36,4,8,0.4,4,71,71,12
滁州,38,26,35,0.33,21,48,48,6
大连,30,12,28,0.41,13,58,58,7
大理州,43,5,24,0.75,12,85,85,4
丹东,54,28,55,0.65,16,45,35,19
大庆,28,16,27,0.32,16,53,53,11
大同,39,6,38,0.32,7,62,56,9
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,28,11,19,0.25,11,54,54,9
达州,64,34,76,0.48,31,38,38,8
